"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Variable","Scenario"
0.852105773245025,-0.313631821761059,0.172491068804637,0.00303151357589317,-0.0343169367444312,0.0418769349970522,"ZP2O5","affected_variables_excluded"
0.764314864587491,-0.274030798354983,0.43557595628073,-0.073995147359644,0.0466747723682581,-0.0221931648964187,"ZAl2O3","affected_variables_excluded"
0.860987414947942,0.191955024580479,-0.240340911768459,0.0536816298009434,0.112052874892617,-0.0761280432097575,"ZCaO","affected_variables_excluded"
-0.846669919842896,-0.0598444547120796,0.192625011248438,0.309831846453918,-0.0263821170805651,-0.0539940837419992,"ZFe2O3","affected_variables_excluded"
0.772168582356575,0.0203083006853991,0.503734293567499,0.081313056619676,0.00537908926478072,-0.00985516075288292,"ZMgO","affected_variables_excluded"
0.830250225539944,-0.151837233283197,0.37131735625104,0.0720445509059076,-0.02314236107504,0.0342097862900446,"ZNa2O","affected_variables_excluded"
0.228660154728111,0.889419215108688,0.0613497095635323,-0.00852201043884778,0.00731490259699213,-0.0995034233208333,"ZSO3","affected_variables_excluded"
0.413479610525223,0.810134242192152,0.0633605623654898,-0.0536240383874054,-0.15155811251058,0.000136478934402973,"ZSiO2","affected_variables_excluded"
-0.670692710356894,0.608555324008174,0.118292135245707,0.0731707402338226,0.0671619329458137,0.114528823070506,"ZCd","affected_variables_excluded"
0.844527368451737,0.322619836747223,-0.145940452647634,0.130104588944477,0.00404676940550237,0.0398826514917065,"ZCr","affected_variables_excluded"
0.804280856016724,0.448156572250248,-0.0506463250311361,-0.0142348915587614,0.0647622573257898,0.0496891958678362,"ZMn","affected_variables_excluded"
-0.76158331764631,0.128752837493346,0.494189040879107,-0.114878486077071,0.0323714075720238,-0.0457015486230232,"ZZn","affected_variables_excluded"
-0.796248110988496,0.369117011189588,0.285928189942382,-0.0436481090233183,0.0439533621263081,0.035950656090402,"ZF","affected_variables_excluded"
