"Scenario","Number_of_variables","PC1_percent","PC2_percent","PC3_percent","PC1_PC2_cumulative_percent","PC1_PC2_PC3_cumulative_percent"
"uniform_k7",17,60.8717430605102,24.1452472564617,10.7710734104967,85.0169903169719,95.7880637274686
"uniform_k8",17,61.1496476737212,24.0283273100581,10.5963986384258,85.1779749837792,95.774373622205
"uniform_k9",17,61.7612243303724,22.8558796194311,11.0786379344665,84.6171039498035,95.6957418842699
"affected_variables_excluded",13,65.5232706268293,22.5510295514274,9.67063757494232,88.0743001782567,97.744937753199
