"Omitted_time","Number_of_retained_times","PC1_percent","PC2_percent","PC3_percent","PC1_PC2_cumulative_percent","PC1_PC2_PC3_cumulative_percent","Time_distance_correlation_2D","Time_Procrustes_similarity_2D","Time_residual_RMSE_2D","Time_distance_correlation_3D","Time_Procrustes_similarity_3D","Time_residual_RMSE_3D","Variable_distance_correlation_2D","Variable_Procrustes_similarity_2D","Variable_residual_RMSE_2D","Variable_distance_correlation_3D","Variable_Procrustes_similarity_3D","Variable_residual_RMSE_3D"
"t0",6,62.7516162146432,29.5543598636775,5.28015012835793,92.3059760783207,97.5861262066787,0.911140635877932,0.963779576162344,0.0776964433309273,0.972622766228583,0.972957769224747,0.0548150737330656,0.733742355612691,0.819768021689345,0.102965436322571,0.736263128620558,0.805068814805189,0.0874320319088953
"t12",6,71.0799033768192,19.2613511564285,6.61452255122577,90.3412545332477,96.9557770844735,0.993351145217065,0.993997341331131,0.0316297820333654,0.99409712146928,0.989510186967688,0.0341399294282809,0.931444184288443,0.952473100635399,0.0528743790755372,0.935896207286063,0.943078293700234,0.047246415487965
"t24",6,64.3301320178205,27.8840282845194,4.53272152512118,92.2141603023399,96.7468818274611,0.997957221401509,0.999264728263565,0.0110700175883236,0.998338406917521,0.995437668317461,0.0225150114924316,0.992087952444145,0.996975041527698,0.0133393678135377,0.983635028013357,0.985240359258985,0.0240584588206332
"t36",6,62.1651005202255,24.0965966392385,10.4284191622777,86.261697159464,96.6901163217417,0.999436488215964,0.999819215335072,0.00548915088952257,0.999754759027375,0.999868065765396,0.00382875428833494,0.998943237710333,0.999488352774205,0.00548606376512275,0.999130697993916,0.999333993589151,0.00511056733295344
"t48",6,61.8006426250586,25.1405393264285,11.3445369809722,86.9411819514871,98.2857189324592,0.999679617786259,0.999925765206612,0.00351745157247541,0.999707929943319,0.999939099767968,0.00260128669085131,0.997244286310007,0.998622634624509,0.00900119395835571,0.997564043489488,0.99869057492249,0.00716589164302684
"t60",6,58.4024672242059,25.3129962193205,11.7500096490435,83.7154634435264,95.4654730925699,0.997930551810364,0.999358803576809,0.0103376046805756,0.997821504788499,0.999381875600561,0.00828736923435642,0.995755798834115,0.998149701942648,0.0104326919918689,0.995158202707573,0.997964326382797,0.00893478247801897
"t72",6,57.1676474795606,26.1500886092684,12.0707965054846,83.317736088829,95.3885325943136,0.996715987082893,0.999027640393759,0.0127302762881874,0.996634578656257,0.99916034627799,0.00965892633790609,0.990373632037846,0.995941977188268,0.0154501528866075,0.990033585412815,0.996067839404749,0.0124178249417661
