"Variable","PC1_coordinate","PC2_coordinate","PC3_coordinate","PC1_contribution","PC2_contribution","PC3_contribution","PC1_PC2_cos2","PC1_PC2_PC3_cos2"
"ZP2O5",0.782109359270779,-0.485147822986819,0.0759867994118734,6.86497365825117,6.72237139996908,0.373952020955406,0.988240703342432,0.994977029308102
"ZAl2O3",0.704916126508924,-0.483235075068841,0.346893469878158,5.57671950860101,6.66946853670454,7.79348724747394,0.852160030387322,0.992550956405449
"ZCaO",0.875636456118699,0.0716568217001862,-0.246366887573313,8.60501394364345,0.146652480050733,3.93101095416454,0.900519553943667,0.971332304451655
"ZFe2O3",-0.844631926722759,0.0740459078292722,0.196378690573563,8.00642972825877,0.156594481533592,2.49763113653615,0.838700202789937,0.883692224586556
"ZK2O",0.81709746919833,0.26898904541963,0.281739248573075,7.4929293873033,2.06653857518338,5.14084232734201,0.86333727751376,0.955943782398034
"ZMgO",0.766753890541472,-0.204192376609817,0.453350534155499,6.59805430592753,1.19083989824542,13.3109129607859,0.73454039788039,0.974321555835978
"ZNa2O",0.792123536659665,-0.356826516070315,0.294998996876236,7.04189823798549,3.63654167023343,5.63612554486442,0.880582336551276,0.982110812735593
"ZSO3",0.385129687489955,0.804779587143336,0.190333607940195,1.66463071446436,18.4981473001905,2.34622976620709,0.928660903413493,0.970925599443613
"ZSiO2",0.554723651896437,0.696970628244136,0.171275329778106,3.45348262980876,13.8740508502254,1.89989327229908,0.925734117709736,0.959958562732102
"ZCd",-0.539798571430373,0.693503061033884,0.262117572290313,3.2701477178418,13.7363419556521,4.4497114976657,0.901050492278578,0.981207050932507
"ZCr",0.88786772951692,0.192111909724556,-0.131299442410861,8.84709013492801,1.05410265563712,1.11651700936605,0.962752106138138,0.982864906978442
"ZCu",0.766795382425905,0.10411739449249,0.186567344402229,6.59876841541522,0.309614229415556,2.25429547742151,0.698618188736526,0.739226791733376
"ZMn",0.874601492903321,0.296892087974699,-0.0029536243733277,8.58468448005129,2.51751216082017,0.000565002157760111,0.995251463839142,0.995261641718904
"ZMo",-0.218982076836847,-0.692565770448803,0.559514052115122,0.538171939579694,13.6992368748781,20.2750333185744,0.61553391243531,0.980765882701974
"ZNi",0.695265048188313,0.566615870212648,0.00653513206416872,5.42506197685449,9.16962970184762,0.00276597542271948,0.938521536877323,0.938571362820268
"ZZn",-0.71915363292245,0.168329518008925,0.544532658514283,5.80426545648029,0.80927269747494,19.2038119126665,0.636436236775121,0.982371355661859
"ZF",-0.708129450209081,0.448420480609119,0.388343083258075,5.62767776460538,5.74308453193828,9.76721457609679,0.819616286630317,0.995561695330436
