"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Variable","Scenario"
0.775616176562708,-0.493924133232308,0.086821942434627,0.0340588217980898,-0.00543349529196853,-0.0536076347765184,"ZP2O5","uniform_k7"
0.697344746595695,-0.487292572262421,0.35583170915505,-0.0283752628963294,-0.0650627002060682,0.0417683470270406,"ZAl2O3","uniform_k7"
0.877416372067475,0.0568923158178047,-0.242804054409602,0.049404311252619,-0.017549173052499,0.149479307226058,"ZCaO","uniform_k7"
-0.844515413846799,0.0864602512528234,0.197906096491071,0.311894509009464,0.00382789371851913,-0.00123988806657439,"ZFe2O3","uniform_k7"
0.803312627671406,0.289448161477519,0.30308351675366,0.165921769558491,0.0875612653863682,-0.0315406760636612,"ZK2O","uniform_k7"
0.762221864882735,-0.208046433324938,0.461518392157654,0.122672799430132,-0.0690195356359175,0.00811351336388542,"ZMgO","uniform_k7"
0.786329444096199,-0.362957043394585,0.305418397766553,0.108359471769028,-0.0238655066507355,-0.0387209493224641,"ZNa2O","uniform_k7"
0.394430377029914,0.801843545032074,0.179420875356161,-0.0114060760165253,-0.145597889756143,0.0713706488984458,"ZSO3","uniform_k7"
0.562775440709399,0.69182364134643,0.161864279661954,-0.0486310138776619,-0.139839179402607,-0.116990141097945,"ZSiO2","uniform_k7"
-0.532062648845244,0.704378514816571,0.25127592078962,0.0273833588119641,0.11750360770603,0.0143724799186372,"ZCd","uniform_k7"
0.890712886975915,0.178848165575987,-0.127730960986482,0.120279909303008,0.0315599044576706,0.00287423766331065,"ZCr","uniform_k7"
0.772150430322443,0.139176558644938,0.142787702941259,-0.458570483873649,0.102780355604744,-0.0178167710285148,"ZCu","uniform_k7"
0.878283213240548,0.286041987125538,-0.00383425791427769,-0.0276614153486154,0.0267250504477164,0.049470721944539,"ZMn","uniform_k7"
-0.261189926507131,-0.648773227995216,0.59116741541494,-0.0435861042671644,0.122898623602721,0.0391566706157681,"ZMo","uniform_k7"
0.676007810632375,0.589025840724619,0.0213890565115675,0.138914600409908,0.182568480120764,-0.0109017515303861,"ZNi","uniform_k7"
-0.719170038393562,0.184990101440238,0.536713058731658,-0.0990423087389882,-0.0807351464454734,0.0364352190054737,"ZZn","uniform_k7"
-0.703972793137905,0.463033996149485,0.377939301103024,-0.0604956285568743,0.0176541969147463,0.0188460874686012,"ZF","uniform_k7"
