"Scenario","Number_of_common_times","Time_distance_correlation_2D","Time_Procrustes_similarity_2D","Time_residual_RMSE_2D","Time_distance_correlation_3D","Time_Procrustes_similarity_3D","Time_residual_RMSE_3D","Number_of_common_variables","Variable_distance_correlation_2D","Variable_Procrustes_similarity_2D","Variable_residual_RMSE_2D","Variable_distance_correlation_3D","Variable_Procrustes_similarity_3D","Variable_residual_RMSE_3D"
"uniform_k7",7,0.999887137184131,0.999943168344797,0.00284935218709806,0.999935773489969,0.999944096926133,0.00230740162803804,17,0.999411677068809,0.999722131062493,0.00404292364731739,0.999203690070899,0.999605239781786,0.00393456387305471
"uniform_k8",7,1,1,4.53878530927752e-17,1,1,3.1976078805111e-17,17,1,1,2.32171206120197e-17,1,1,8.93446983596028e-17
"uniform_k9",7,0.999840397594248,0.999842381626169,0.00474519868364653,0.999856611731465,0.999845130477242,0.00384050496132024,17,0.998933753578705,0.999379204032052,0.00604296366688745,0.998932493055354,0.99926042763282,0.00538542829574784
"affected_variables_excluded",7,0.974294678853463,0.990520778790127,0.0367991094804378,0.980167176946875,0.993464962050405,0.0249476364938261,13,0.997505972637375,0.998883223856841,0.00926854126419472,0.999950790398394,0.99992271926061,0.00199075735349208
