Target_variable,Time_h,Most_influential_donor,Maximum_relative_change_percent,Maximum_absolute_change
DCu,12,DNi,2.0170423465033553,0.0005412116229032982
DCu,24,DK2O,1.0875356142825379,0.00027059309196440784
DK2O,0,DSO3,16.797872693258224,0.09122594533221834
DMo,0,DP2O5,13.19844413654759,0.050837395834693155
DMo,24,DFe2O3,6.549251318613198,0.02232274540285295
DNi,0,DCd,26.443250532310813,0.020153287056269897
