Time_h,DP2O5,DAl2O3,DCaO,DFe2O3,DK2O,DMgO,DNa2O,DSO3,DSiO2,DCd,DCr,DCu,DMn,DMo,DNi,DZn,DF
0,0.025794744267982984,0.785856421245982,152.23905562224888,0.06669630156472262,0.5721679817723929,0.02440510283780265,0.9170602945262574,30.737074258703487,10.212246537952629,0.15220326970779502,0.024235986957396993,0.02490243586852192,0.03506578299004631,0.3966886821708772,0.08110570071099969,0.017418172657646974,2.9787261597665666
12,0.04027051526362356,5.286494208888208,221.3265982958314,0.062498534641084756,0.6671857619577308,0.04495580808080808,2.8005800580058002,26.230504995070987,6.8301693725422545,0.08870463394460247,0.07099122962179852,0.02653995209032297,0.053177750084966585,0.5638318670576735,0.04098675855575748,0.012789257972446115,0.7360288253389541
24,0.032860476878070755,1.7856705450091857,243.1040566824118,0.06252539459290514,0.3334000066673334,0.022471176634734,1.2999299929992998,26.73392445506436,6.78735648476258,0.09603451060001383,0.07376263887191382,0.024907483675796198,0.042794270734916706,0.33901453836296447,0.04611177029225853,0.009020064612598185,0.5224485312499211
36,0.03687995411796986,3.0010668563300142,250.86690747429844,0.06251758087201126,0.7143859649122808,0.03333991850845783,2.112895256916996,26.56007263039612,7.327253845654573,0.10208457652066674,0.11951926550780599,0.02606535850826578,0.06939233904948611,0.42519388511644873,0.09090909090909091,0.008568107053502255,0.5045458027186435
48,0.03817258122898927,3.787405592978159,312.9563492063492,0.06251025430680886,1.000833564879133,0.04398610901404197,2.6249413970932958,30.601188098876456,11.195021536850623,0.10339506172839506,0.18658197896797518,0.025637772722018767,0.10996252188786002,0.35359307359307357,0.12165858032110853,0.008508852714435128,0.42989454042267694
60,0.038414850020595165,4.144723412941417,348.1510604241697,0.058824750830564786,1.0,0.042105496453900715,2.4999218627910613,31.402479608806207,11.799806404456648,0.10326151333613925,0.1992306026058786,0.02918688713219604,0.14133552721788015,0.35325880031843826,0.1329360368561082,0.008087903417071315,0.4018518081688888
72,0.03923076288332238,3.999897938354766,316.264649971072,0.05881782945736434,1.034769786910198,0.043005467198543625,2.6257227691826848,31.604290620056332,13.835944010748848,0.10174714625934138,0.20095042846961692,0.02919489949453094,0.1362332606852466,0.3235787568890386,0.1318219374664792,0.008069767758195817,0.3848753966250228
