Target_variable,Time_h,Minimum_value,Maximum_value,Mean_value,Standard_deviation,Selected_k_NN_value,Absolute_range,Relative_range_percent
DCu,12,0.02653995209032297,0.027044292679943488,0.02680539543101232,0.00025321607142007684,0.026831941522770495,0.000504340589620518,1.879627641527608
DCu,24,0.024881308566885123,0.024978028073914995,0.02492227343886544,5.0027178400931025e-05,0.024881308566885123,9.671950702987153e-05,0.3887235543495363
DK2O,0,0.5095146259830858,0.5721679817723929,0.5415876516269374,0.03135333878239399,0.5430803471253334,0.06265335578930709,11.536664164142142
DMo,0,0.38517718686189817,0.41086464963232927,0.3975768395550349,0.0128667421498158,0.38517718686189817,0.025687462770431102,6.668999007888053
DMo,24,0.329889680810643,0.3408442326745187,0.3365828172827087,0.005868177075864839,0.3408442326745187,0.010954551863875672,3.213946669397357
DNi,0,0.07051610052675822,0.08110570071099969,0.07594505038321868,0.0052998958945755705,0.07621334991189811,0.010589600184241474,13.894678814778446
